,circuit,param,mae
0,0,L1,1.6075918181818178e-06
1,0,R1,45.84963590909093
2,0,R2,39208.54560590908
3,0,CPE1_t,0.11721818181818182
4,0,CPE1_C,0.004673987071135589
5,1,L1,1.4887375000000003e-06
6,1,R1,37.10106778846153
7,1,R2,392.5485322115385
8,1,CPE1_t,0.12377403846153838
9,1,CPE1_C,1.8728392031250014e-06
10,1,R3,42790.30852259615
11,1,CPE2_t,0.1360096153846155
12,1,CPE2_C,0.01465473555432693
13,2,L1,1.4090239130434786e-06
14,2,R1,36.853190869565225
15,2,R2,189.99708826086962
16,2,CPE1_t,0.13158695652173916
17,2,CPE1_C,1.7728350016086936e-06
18,2,R3,2705.7191413043424
19,2,CPE2_t,0.13586956521739127
20,2,CPE2_C,0.0005893487143478259
21,2,R4,98675.67849999998
22,2,CPE3_t,0.1259304347826088
23,2,CPE3_C,0.031936536391304365
24,3,R1,51.81575065502182
25,3,C1,5.382838471615718e-06
26,3,R_g1,1.800623012227074
27,3,t_g1,0.6123404279475987
28,3,R_g2,48.34401746724897
29,3,t_g2,16.651323144104794
30,4,R1,28.81229824561403
31,4,R2,8.981739912280702
32,4,R3,34.95565482456139
33,4,R4,69213.72323947371
34,4,C2,8.524684210526317e-06
35,4,CPE3_C,0.00012844653508771936
36,4,CPE4_t,0.15721929824561398
37,4,CPE4_C,0.4308110394736844
38,4,C1,0.0
39,4,CPE3_t,0.0
40,5,R1,42.37349170506911
41,5,R2,37110.880662672804
42,5,CPE1_t,0.11989400921658992
43,5,CPE1_C,0.0011598098395556684
44,5,CPE2_t,0.1264009216589862
45,5,CPE2_C,0.012304797719769587
46,6,R1,11.949588938053092
47,6,R2,328.61890265486744
48,6,R3,73425.77367477874
49,6,CPE1_t,0.12511946902654872
50,6,CPE1_C,1.740715784469027e-06
51,6,CPE2_t,0.12727433628318585
52,6,CPE2_C,5.949760442477878e-05
53,6,CPE3_t,0.12257522123893808
54,6,CPE3_C,0.027293668477876114
55,7,R1,39.285822767857134
56,7,R2,137.45564910714285
57,7,R3,2503.427414732141
58,7,R4,90485.98714732137
59,7,CPE1_t,0.1297633928571429
60,7,CPE1_C,4.552100213392856e-07
61,7,CPE2_t,0.13079017857142858
62,7,CPE2_C,0.0008803797472767854
63,7,CPE3_t,0.1294375
64,7,CPE3_C,0.003500695777232142
65,7,CPE4_t,0.1296830357142857
66,7,CPE4_C,0.027726292450892868
67,8,R1,100.38841566265062
68,8,W1_R,783.0187228915656
69,8,W1_T,188.56532951807225
70,8,W1_p,0.9691566265060242
