,circuit,param,mae
0,0,L1,1.2183329102104375e-06
1,0,R1,32.38785922622459
2,0,R2,21166.153707977846
3,0,CPE1_t,0.047215080909295506
4,0,CPE1_C,0.004859198534820988
5,1,L1,1.2155137496935752e-06
6,1,R1,38.91564952827667
7,1,R2,314.27824434403186
8,1,CPE1_t,0.1358326757962887
9,1,CPE1_C,2.000583497368292e-06
10,1,R3,32222.777131552888
11,1,CPE2_t,0.060600489708093466
12,1,CPE2_C,0.012196719099844018
13,2,L1,1.2793883892417147e-06
14,2,R1,31.663335873376255
15,2,R2,197.5713219743601
16,2,CPE1_t,0.149541451852218
17,2,CPE1_C,1.976362540483903e-06
18,2,R3,2046.6604289671989
19,2,CPE2_t,0.12006263042947525
20,2,CPE2_C,0.0005340070721739918
21,2,R4,79655.90566409435
22,2,CPE3_t,0.08104514118277502
23,2,CPE3_C,0.024363281575826595
24,3,R1,8.354015783073729
25,3,C1,4.458017077075457e-06
26,3,R_g1,2.0343578027669222
27,3,t_g1,0.6603554859563918
28,3,R_g2,12.94804777976571
29,3,t_g2,12.88895539878057
30,4,R1,3.5916741296578367
31,4,R2,7.963070989231548
32,4,R3,11.943181168398839
33,4,R4,77456.4056452894
34,4,C2,5.832616017812684e-06
35,4,CPE3_C,6.98434551832376e-05
36,4,CPE4_t,0.08968627427649074
37,4,CPE4_C,0.34344617330024785
38,4,C1,5.656386305141374e-17
39,4,CPE3_t,2.384185793236071e-08
40,5,R1,34.2941550182979
41,5,R2,17414.67261467336
42,5,CPE1_t,0.1319301872868691
43,5,CPE1_C,0.0010459467844009618
44,5,CPE2_t,0.056616657797642016
45,5,CPE2_C,0.00738403832967753
46,6,R1,10.395135911229545
47,6,R2,280.9787524437865
48,6,R3,53351.02485067101
49,6,CPE1_t,0.13730397680375428
50,6,CPE1_C,2.4740883573636462e-06
51,6,CPE2_t,0.11062445845857133
52,6,CPE2_C,5.308269812073841e-05
53,6,CPE3_t,0.0705590774548792
54,6,CPE3_C,0.02180867737165997
55,7,R1,31.964827247733904
56,7,R2,131.43053202971598
57,7,R3,2643.1244535324436
58,7,R4,60183.072834685634
59,7,CPE1_t,0.1356487927160093
60,7,CPE1_C,4.5588636651473476e-07
61,7,CPE2_t,0.1277140085910047
62,7,CPE2_C,0.0010838512093020718
63,7,CPE3_t,0.10891971866147857
64,7,CPE3_C,0.0035787466067924386
65,7,CPE4_t,0.09434025914115561
66,7,CPE4_C,0.0251485866783413
67,8,R1,23.025568720113085
68,8,W1_R,191.02525662446797
69,8,W1_T,193.0147846007328
70,8,W1_p,0.23204825108309826
